,year,name,position,height,weight,fortyyd,twentyss,threecone,vertical,broad,bench,college,picktotal,first4av,carav,drav
57,2010,Jason Fox,OT,6-7.0000,305,5.42,0,0,0,0,23,Miami (FL),128,4,9,2
58,2010,Dominique Franks,CB,5-11.0000,194,4.46,4.33,0,33.5,117,10,Oklahoma,135,6,6,5
59,2010,Clifton Geathers,DE,6-8.0000,299,4.98,0,0,36,112,26,South Carolina,186,4,4,
60,2010,Toby Gerhart,RB,6-1.0000,231,4.5,4.25,0,38,118,22,Stanford,51,17,16,13
61,2010,David Gettis,WR,6-3.0000,217,4.43,4.41,6.94,34.5,124,15,Baylor,198,3,3,3
62,2010,Brandon Ghee,CB,6-1.0000,192,4.37,4.07,0,37,127,15,Wake Forest,96,3,3,2
63,2010,Thaddeus Gibson,OLB,6-2.0000,243,4.78,4.27,0,32,115,32,Ohio State,116,0,0,
64,2010,Mardy Gilyard,WR,6-1.0000,187,4.61,4.4,6.92,39,116,0,Cincinnati,99,1,1,1
65,2010,Travis Goethel,ILB,6-3.0000,240,4.81,4.54,0,35,111,21,Arizona State,190,1,1,1
66,2010,Brandon Graham,OLB,6-2.0000,268,4.71,0,0,0,0,31,Michigan,13,10,14,14
67,2010,Garrett Graham,TE,6-3.0000,243,4.71,4.35,0,34.5,112,20,Wisconsin,118,7,7,7
68,2010,Jimmy Graham,TE,6-6.0000,260,4.53,4.45,0,38.5,120,0,Miami (FL),95,43,44,40
69,2010,Jermaine Gresham,TE,6-5.0000,261,4.66,4.53,0,35,113,20,Oklahoma,21,24,23,22
70,2010,Everson Griffen,DE,6-4.0000,273,4.65,0,0,0,0,32,USC,100,16,26,26
71,2010,Cody Grimm,SS,5-11.0000,203,4.55,0,0,35.5,117,11,Virginia Tech,210,6,6,6
72,2010,Rob Gronkowski,TE,6-6.0000,258,4.68,0,0,0,0,23,Arizona,42,46,52,52
73,2010,Joe Haden,CB,5-11.0000,193,4.52,4.34,0,35,125,18,Florida,7,38,37,37
74,2010,Clay Harbor,TE,6-3.0000,252,4.62,4.37,0,40,120,30,Missouri State,125,7,7,3
75,2010,Montario Hardesty,RB,6-1.0000,225,4.49,4.14,0,41,124,21,Tennessee,59,4,4,4
76,2010,Greg Hardy,DE,6-4.0000,281,4.82,4.65,0,35,117,21,Mississippi,175,28,32,26
77,2010,Trindon Holliday,WR,5-5.0000,166,4.34,4.48,6.54,42,116,10,LSU,197,4,4,0
78,2010,Lamarr Houston,DT,6-3.0000,305,4.84,4.71,0,33.5,114,30,Texas,44,31,31,26
79,2010,Jerry Hughes,OLB,6-2.0000,255,4.65,4.15,0,34.5,118,26,TCU,31,18,25,4
80,2010,Josh Hull,ILB,6-3.0000,237,4.93,4.07,0,32.5,115,25,Penn State,254,3,3,2
81,2010,Mike Iupati,OG,6-5.0000,331,5.24,4.93,0,27.5,92,27,Idaho,17,47,53,42
82,2010,Kareem Jackson,CB,5-11.0000,196,4.4,4.14,0,37.5,118,13,Alabama,20,28,29,29
83,2010,John Jerry,OT,6-6.0000,328,5.15,4.69,0,27.5,101,0,Mississippi,73,28,30,18
84,2010,Mike Johnson,OG,6-1.0000,312,5.37,5.01,0,25,0,0,Alabama,98,2,2,2
85,2010,Chad Jones,SS,6-2.0000,221,4.59,4.14,0,36,115,9,LSU,76,0,,
86,2010,Reshad Jones,SS,6-1.0000,214,4.51,4.54,0,39.5,118,24,Georgia,163,25,31,31
87,2010,Linval Joseph,DT,6-5.0000,328,5.09,4.71,0,30,100,39,East Carolina,46,30,33,20
88,2010,Sergio Kindle,OLB,6-3.0000,250,4.65,4.53,0,36.5,118,25,Texas,43,0,0,0
89,2010,Jammie Kirlew,DE,6-1.0000,260,5.05,4.74,0,33,111,26,Indiana,232,0,0,
90,2010,Brandon LaFell,WR,6-3.0000,211,4.58,4.23,6.81,36,115,11,LSU,78,32,33,18
91,2010,Austen Lane,DE,6-6.0000,276,4.84,4.6,0,34.5,125,0,Murray State,153,7,7,7
92,2010,Ted Larsen,OC,6-3.0000,304,5.19,4.66,0,24,96,26,North Carolina State,205,24,27,
93,2010,Shawn Lauvao,OG,6-3.0000,315,5.22,4.51,0,26.5,101,33,Arizona State,92,25,24,17
94,2010,Sean Lee,ILB,6-2.0000,236,4.71,0,0,37.5,120,24,Penn State,55,18,26,26
95,2010,Dan LeFevour,QB,6-3.0000,230,4.6,4.22,0,29.5,110,0,Central Michigan,181,0,,
96,2010,Kendrick Lewis,FS,6-1.0000,198,4.73,4.33,0,31.5,116,16,Mississippi,136,26,28,17
97,2010,Myron Lewis,FS,6-2.0000,203,4.42,0,0,37,126,10,Vanderbilt,67,1,1,1
98,2010,Trevard Lindley,CB,5-11.0000,183,4.51,4.27,0,38.5,116,9,Kentucky,105,1,1,1
99,2010,Ryan Mathews,RB,6-1.0000,218,4.37,4.33,0,36,121,19,Fresno State,12,39,39,36
100,2010,Taylor Mays,FS,6-3.0000,230,4.31,0,0,41,125,24,USC,49,8,9,3
101,2010,Rolando McClain,ILB,6-4.0000,249,4.68,0,0,0,0,24,Alabama,8,23,26,15
102,2010,Dexter McCluster,WR,5-9.0000,172,4.53,4.06,0,37.5,118,20,Mississippi,36,20,21,17
103,2010,Devin McCourty,CB,5-11.0000,193,4.38,4.07,0,36,126,16,Rutgers,27,38,40,40
104,2010,Anthony McCoy,TE,6-5.0000,259,4.71,4.57,0,35.5,113,19,USC,185,4,4,4
105,2010,Colt McCoy,QB,6-1.0000,216,4.79,0,0,0,114,0,Texas,85,13,12,10
106,2010,Gerald McCoy,DT,6-4.0000,295,5.04,4.48,0,30.5,114,23,Oklahoma,3,41,45,45
107,2010,Joe McKnight,RB,6-1.0000,198,4.4,0,0,36.5,120,18,USC,112,7,7,6
108,2010,Kerry Meier,WR,6-2.0000,224,4.62,4.23,0,35,115,13,Kansas,165,0,0,0
109,2010,Koa Misi,OLB,6-3.0000,251,4.75,4.27,0,38,127,0,Utah,40,29,31,31
110,2010,Carlton Mitchell,WR,6-3.0000,215,4.46,4.55,6.96,36,122,16,South Florida,177,0,0,0
111,2010,Earl Mitchell,DT,6-2.0000,296,4.75,4.55,0,28.5,107,25,Arizona,81,15,18,11
112,2010,Arthur Moats,OLB,6-1.0000,246,4.64,4.37,0,36.5,122,24,James Madison,178,14,18,9
113,2010,Tony Moeaki,TE,6-3.0000,245,4.69,4.42,0,34,113,18,Iowa,93,10,10,9
114,2010,Joshua Moore,CB,5-11.0000,188,4.5,4.07,0,36.5,122,2,Kansas State,141,0,0,0
115,2010,Derrick Morgan,DE,6-3.0000,266,4.77,4.43,0,34,112,0,Georgia Tech,16,24,26,26
116,2010,Roddrick Muckelroy,OLB,6-2.0000,246,4.68,4.39,0,31,110,19,Texas,131,2,2,1
